ACCIDENT REF,BOROUGH,BORO,EASTING,NORTHING,CREFNO,CASUALTY CLASS,CASUALTY SEX,CASUALTY AGE (BANDED),CASUALTY AGE,NO. OF CASUALTIES,CASUALTY SEVERITY,PED LOCATION,PED MOVEMENT,MODE OF TRAVEL,ACCIDENT DATE
1190205992,BARNET,30,520689,189741,2,3 PEDESTRIAN,2 FEMALE,25-59,48,3,1,08 IN CENTRE OF CARRIAGEWAY,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/17
1190205992,BARNET,30,520689,189741,3,3 PEDESTRIAN,2 FEMALE,16-24,16,3,1,08 IN CENTRE OF CARRIAGEWAY,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/17
1190206007,EALING,27,513166,180409,1,3 PEDESTRIAN,1 MALE,0-15,8,1,1,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/17
1190206025,BARKING & DAGENHAM,16,547644,184530,1,3 PEDESTRIAN,1 MALE,0-15,3,1,1,02 CROSSING ROAD IN ZIG-ZAG APP,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/18
1190206041,WALTHAM FOREST,13,538070,189557,1,3 PEDESTRIAN,2 FEMALE,60+,60,1,1,04 CROSSING ROAD WITHIN 50M XING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/18
1190206056,SUTTON,21,525888,163883,1,3 PEDESTRIAN,1 MALE,25-59,46,1,1,06 ON FOOTPATH - VERGE,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/8/9
1190206068,HACKNEY,4,533606,186305,1,3 PEDESTRIAN,2 FEMALE,25-59,25,1,1,01 CROSSING ROAD ON PED XING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/18
1190206087,SOUTHWARK,8,535110,177372,1,3 PEDESTRIAN,2 FEMALE,60+,78,1,2,04 CROSSING ROAD WITHIN 50M XING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/18
1190206143,ENFIELD,32,530955,196393,1,3 PEDESTRIAN,1 MALE,0-15,11,1,1,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/18
1190206147,HACKNEY,4,533541,185040,1,3 PEDESTRIAN,2 FEMALE,25-59,26,1,1,10 UNKNOWN OR OTHER,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/15
1190206165,HILLINGDON,26,508159,182236,1,3 PEDESTRIAN,1 MALE,0-15,9,1,2,09 IN ROAD - NOT CROSSING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/14
1190206170,BROMLEY,19,547082,168080,1,3 PEDESTRIAN,2 FEMALE,60+,88,1,1,01 CROSSING ROAD ON PED XING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/18
1190206179,BROMLEY,19,540407,168755,1,3 PEDESTRIAN,1 MALE,25-59,46,1,1,05 CROSSING ROAD (NOT ON XING),3 FROM DRIVERS O/SIDE,1 PEDESTRIAN,2019/9/18
1190206185,CAMDEN,2,526330,184676,1,3 PEDESTRIAN,1 MALE,60+,77,1,2,01 CROSSING ROAD ON PED XING,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/18
1190206189,EALING,27,520861,181205,1,3 PEDESTRIAN,2 FEMALE,0-15,6,1,1,05 CROSSING ROAD (NOT ON XING),9 UNKNOWN OR OTHER,1 PEDESTRIAN,2019/9/17
1190206190,CROYDON,20,530982,166340,1,3 PEDESTRIAN,1 MALE,0-15,10,1,1,09 IN ROAD - NOT CROSSING,3 FROM DRIVERS O/SIDE,1 PEDESTRIAN,2019/9/18
1190206199,GREENWICH,6,543226,176579,1,3 PEDESTRIAN,1 MALE,0-15,3,1,1,10 UNKNOWN OR OTHER,'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/18
1190206200,BEXLEY,18,547262,173464,1,3 PEDESTRIAN,2 FEMALE,60+,73,1,2,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,2019/9/18
