_COLLISION ID,BOROUGH NAME,BOROUGH NUMBER,EASTING,NORTHING,_CASUALTY ID,_CASUALTY CLASS,CASUALTY GENDER,CASUALTY AGE (5 YEAR BANDS),CASUALTY AGE,_CASUALTY COUNT,_CASUALTY SEVERITY,PEDESTRIAN LOCATION,PEDESTRIAN MOVEMENT,CASUALTY MODE OF TRAVEL,_COLLISION DATE
1220404032,Havering,15,553386,190685,1,Pedestrian,Male,25-29,29.0,1,Serious,Crossing Road (Not On Xing),From Drivers N/Side Msk,Pedestrian,2022-10-11
1220404035,Barnet,30,525539,187334,1,Pedestrian,Female,40-44,41.0,1,Slight,In Road - Not Crossing,In Rd Not Crossing,Pedestrian,2022-10-11
1220404065,Barking & Dagenham,16,550235,185153,1,Pedestrian,Male,45-49,45.0,1,Slight,Unknown Or Other,Unknown Or Other,Pedestrian,2022-10-11
1220404080,Lambeth,9,531698,175578,1,Pedestrian,Male,40-44,40.0,1,Serious,In Road - Not Crossing,In Rd Back To Traffic,Pedestrian,2022-10-11
1220404090,Westminster,1,527913,182001,2,Pedestrian,Female,30-34,30.0,1,Slight,Crossing Road (Not On Xing),From Drivers O/Side Msk,Pedestrian,2022-10-11
1220404111,Newham,17,543649,182585,1,Pedestrian,Male,20-24,23.0,1,Slight,In Centre Of Carriageway,From Drivers O/Side,Pedestrian,2022-10-11
1220404128,Haringey,31,530013,188546,1,Pedestrian,Male,20-24,22.0,1,Slight,On Footpath - Verge,Unknown Or Other,Pedestrian,2022-10-11
1220404133,Greenwich,6,545070,177139,1,Pedestrian,Female,14-Oct,11.0,1,Slight,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian,2022-10-12
1220404167,Newham,17,538584,182290,1,Pedestrian,Female,55-59,57.0,1,Serious,Crossing Road (Not On Xing),Unknown Or Other,Pedestrian,2022-10-08
1220404200,Wandsworth,10,527726,171178,1,Pedestrian,Male,80-84,81.0,1,Serious,Crossing Road Within 50m Xing,From Drivers N/Side,Pedestrian,2022-10-12
1220404202,Westminster,1,529002,180297,2,Pedestrian,Female,50-54,51.0,1,Slight,Crossing Road (Not On Xing),From Drivers N/Side,Pedestrian,2022-10-12
1220404247,Hackney,4,534352,186184,1,Pedestrian,Male,60-64,60.0,1,Serious,On Footpath - Verge,Unknown Or Other,Pedestrian,2022-10-12
1220404266,Greenwich,6,547001,181058,1,Pedestrian,Female,5-Sep,8.0,1,Slight,Crossing Road Within 50m Xing,From Drivers O/Side Msk,Pedestrian,2022-10-12
1220404268,Southwark,8,532802,177910,1,Pedestrian,Female,35-39,36.0,1,Slight,Crossing Road On Ped Xing,Unknown Or Other,Pedestrian,2022-10-10
1220404293,Hounslow,25,516507,176853,1,Pedestrian,Female,14-Oct,11.0,1,Slight,Crossing Road On Ped Xing,From Drivers N/Side,Pedestrian,2022-10-12
1220404355,Lewisham,7,536446,174639,1,Pedestrian,Female,20-24,20.0,1,Serious,Crossing Road (Not On Xing),From Drivers O/Side Msk,Pedestrian,2022-10-13
1220404356,Merton,22,523216,170764,1,Pedestrian,Female,25-29,28.0,1,Serious,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian,2022-10-10
1220404359,Wandsworth,10,526090,175374,1,Pedestrian,Male,40-44,43.0,1,Slight,Crossing Road (Not On Xing),From Drivers N/Side Msk,Pedestrian,2022-10-13
1220404362,Hillingdon,26,508411,176929,1,Pedestrian,Female,45-49,45.0,1,Slight,Crossing Road (Not On Xing),From Drivers N/Side,Pedestrian,2022-10-13
1220404369,Barking & Dagenham,16,548066,188016,1,Pedestrian,Female,70-74,70.0,1,Slight,On Footpath - Verge,Unknown Or Other,Pedestrian,2022-10-10
1220404371,Wandsworth,10,527221,173028,1,Pedestrian,Female,40-44,41.0,1,Slight,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian,2022-10-13
1220404382,Camden,2,526356,185711,1,Pedestrian,Male,15-19,15.0,1,Slight,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian,2022-10-13
1220404385,Ealing,27,511425,178877,1,Pedestrian,Male,65-69,68.0,1,Serious,Crossing Road On Ped Xing,From Drivers O/Side,Pedestrian,2022-10-13
1220404398,Wandsworth,10,528231,172679,1,Pedestrian,Female,5-Sep,6.0,1,Slight,Unknown Or Other,Unknown Or Other,Pedestrian,2022-10-10
1220404407,Greenwich,6,542575,177429,1,Pedestrian,Male,80-84,81.0,1,Slight,In Road - Not Crossing,Unknown Or Other,Pedestrian,2022-10-13
1220404410,Haringey,31,532745,191343,1,Pedestrian,Male,0-4,4.0,1,Slight,In Centre Of Carriageway,From Drivers O/Side,Pedestrian,2022-10-13
1220404413,Enfield,32,535168,197230,1,Pedestrian,Female,14-Oct,12.0,1,Slight,On Refuge,Unknown Or Other,Pedestrian,2022-10-13
1220404416,Camden,2,530094,182798,1,Pedestrian,Male,Unknown,,1,Slight,Crossing Road On Ped Xing,From Drivers N/Side,Pedestrian,2022-10-13
1220404417,Haringey,31,531729,189336,1,Pedestrian,Female,25-29,27.0,1,Slight,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian,2022-10-12
1220404419,Newham,17,540865,182750,1,Pedestrian,Male,15-19,17.0,1,Slight,Unknown Or Other,Unknown Or Other,Pedestrian,2022-10-13
1220404437,Merton,22,523636,169676,1,Pedestrian,Female,15-19,16.0,1,Slight,Crossing Road (Not On Xing),From Drivers N/Side,Pedestrian,2022-10-13
1220404444,Tower Hamlets,5,536212,183213,1,Pedestrian,Male,14-Oct,12.0,1,Serious,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian,2022-10-13
1220404445,Bromley,19,545720,165710,1,Pedestrian,Female,75-79,75.0,1,Slight,Crossing Road (Not On Xing),From Drivers N/Side Msk,Pedestrian,2022-10-13
1220404446,Lambeth,9,531909,172234,1,Pedestrian,Female,60-64,62.0,1,Slight,Crossing Road On Ped Xing,From Drivers O/Side Msk,Pedestrian,2022-10-13
1220404451,Lambeth,9,530825,174776,2,Pedestrian,Male,15-19,16.0,1,Slight,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian,2022-10-13
1220404453,Southwark,8,531948,178890,1,Pedestrian,Male,55-59,58.0,1,Slight,In Centre Of Carriageway,From Drivers O/Side,Pedestrian,2022-10-13
1220404473,Hammersmith & Fulham,11,522775,180078,2,Pedestrian,Male,55-59,55.0,1,Slight,Crossing Road (Not On Xing),Unknown Or Other,Pedestrian,2022-10-13
